word,number
老婆,17
babe,14
可爱,4
回家,4
晚上,3
照顾,3
上课,3
不用,3
fuwa,3
早起,2
生活,2
嘻嘻,2
晚安,2
吃饭,2
好像,2
我爱你,2
快乐,2
狗狗,2
明天,2
永远,2
辛苦,2
tutorial,2
ta,2
老公,2
考察,2
拿出,1
早晨,1
旁边,1
放到,1
放出,1
支付宝,1
提前,1
捶背,1
按摩,1
结婚,1
早点,1
担心,1
打算,1
我用,1
我現,1
那要,1
我刚,1
慢慢,1
感到,1
酒店,1
迟到,1
身份证,1
福娃,1
跟个,1
礼物,1
睡觉,1
着急,1
真的,1
真棒,1
直线,1
爸妈,1
聊天,1
温哥华,1
沙发,1
开心,1
每次,1
正好,1
查好,1
聊天记录,1
朋友,1
肯定,1
有没有,1
质量,1
开车,1
宝宝,1
开开心心,1
东西,1
半天,1
加油,1
到时候,1
到家,1
刚买,1
分离,1
冰箱,1
保保,1
他来,1
买个,1
乐观,1
两周,1
不见,1
幸福,1
不理,1
不接,1
不到,1
下課,1
一泡,1
一只,1
一会,1
waffle,1
vahid,1
person,1
paper,1
lab,1
厉害,1
只会,1
只能,1
可怜,1
带个,1
对象,1
defence,1
安安,1
孩子,1
好棒,1
好好学习,1
好好,1
好久,1
奶茶,1
多伦多,1
垫子,1
地铁站,1
困死,1
回来,1
嘿嘿嘿,1
喜欢,1
喂狗,1
喂喂,1
啥时候,1
唱歌,1
哈哈哈,1
告诉,1
吃好饭,1
可憐,1
阿瓦,1
